Date,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,Sulphur dioxide,Status,Sulphur dioxide,Status
12/04/1998,56,V ugm-3,0,V ugm-3,6,V ugm-3,7,V ugm-3,No data,,15,V ugm-3
13/04/1998,60,V ugm-3,4,V ugm-3,7,V ugm-3,13,V ugm-3,No data,,2,V ugm-3
14/04/1998,50,V ugm-3,7,V ugm-3,13,V ugm-3,24,V ugm-3,No data,,1,V ugm-3
15/04/1998,63,V ugm-3,0,V ugm-3,9,V ugm-3,9,V ugm-3,No data,,1,V ugm-3
16/04/1998,51,V ugm-3,1,V ugm-3,15,V ugm-3,16,V ugm-3,No data,,5,V ugm-3
17/04/1998,66,V ugm-3,0,V ugm-3,9,V ugm-3,9,V ugm-3,No data,,4,V ugm-3
18/04/1998,74,V ugm-3,0,V ugm-3,8,V ugm-3,8,V ugm-3,No data,,12,V ugm-3
19/04/1998,66,V ugm-3,0,V ugm-3,8,V ugm-3,8,V ugm-3,No data,,1,V ugm-3
20/04/1998,47,V ugm-3,1,V ugm-3,13,V ugm-3,14,V ugm-3,No data,,1,V ugm-3
21/04/1998,43,V ugm-3,2,V ugm-3,18,V ugm-3,21,V ugm-3,No data,,4,V ugm-3
22/04/1998,62,V ugm-3,2,V ugm-3,20,V ugm-3,23,V ugm-3,No data,,8,V ugm-3
23/04/1998,45,V ugm-3,1,V ugm-3,15,V ugm-3,16,V ugm-3,No data,,1,V ugm-3
24/04/1998,44,V ugm-3,1,V ugm-3,14,V ugm-3,16,V ugm-3,No data,,1,V ugm-3
25/04/1998,58,V ugm-3,0,V ugm-3,8,V ugm-3,8,V ugm-3,No data,,1,V ugm-3
26/04/1998,58,V ugm-3,0,V ugm-3,8,V ugm-3,8,V ugm-3,No data,,0,V ugm-3
27/04/1998,46,V ugm-3,1,V ugm-3,14,V ugm-3,16,V ugm-3,No data,,1,V ugm-3
28/04/1998,44,V ugm-3,1,V ugm-3,16,V ugm-3,18,V ugm-3,No data,,1,V ugm-3
29/04/1998,61,V ugm-3,1,V ugm-3,12,V ugm-3,14,V ugm-3,No data,,2,V ugm-3
30/04/1998,82,V ugm-3,0,V ugm-3,3,V ugm-3,3,V ugm-3,No data,,0,V ugm-3
01/05/1998,82,V ugm-3,0,V ugm-3,4,V ugm-3,4,V ugm-3,No data,,0,V ugm-3
02/05/1998,82,V ugm-3,0,V ugm-3,4,V ugm-3,4,V ugm-3,No data,,0,V ugm-3
03/05/1998,82,V ugm-3,0,V ugm-3,2,V ugm-3,2,V ugm-3,No data,,0,V ugm-3
04/05/1998,51,V ugm-3,1,V ugm-3,9,V ugm-3,10,V ugm-3,No data,,8,V ugm-3
05/05/1998,49,V ugm-3,1,V ugm-3,12,V ugm-3,14,V ugm-3,No data,,1,V ugm-3
06/05/1998,62,V ugm-3,1,V ugm-3,8,V ugm-3,9,V ugm-3,No data,,1,V ugm-3
07/05/1998,55,V ugm-3,1,V ugm-3,10,V ugm-3,11,V ugm-3,No data,,0,V ugm-3
08/05/1998,50,V ugm-3,2,V ugm-3,21,V ugm-3,24,V ugm-3,No data,,6,V ugm-3
09/05/1998,69,V ugm-3,1,V ugm-3,18,V ugm-3,20,V ugm-3,No data,,4,V ugm-3
10/05/1998,50,V ugm-3,1,V ugm-3,11,V ugm-3,13,V ugm-3,No data,,3,V ugm-3
11/05/1998,65,V ugm-3,0,V ugm-3,7,V ugm-3,7,V ugm-3,No data,,0,V ugm-3
12/05/1998,66,V ugm-3,1,V ugm-3,7,V ugm-3,9,V ugm-3,No data,,1,V ugm-3
13/05/1998,71,V ugm-3,2,V ugm-3,11,V ugm-3,13,V ugm-3,No data,,2,V ugm-3
14/05/1998,47,V ugm-3,2,V ugm-3,14,V ugm-3,17,V ugm-3,No data,,3,V ugm-3
15/05/1998,54,V ugm-3,1,V ugm-3,14,V ugm-3,15,V ugm-3,No data,,4,V ugm-3
16/05/1998,70,V ugm-3,0,V ugm-3,9,V ugm-3,10,V ugm-3,No data,,2,V ugm-3
17/05/1998,79,V ugm-3,0,V ugm-3,7,V ugm-3,7,V ugm-3,No data,,1,V ugm-3
18/05/1998,72,V ugm-3,0,V ugm-3,10,V ugm-3,10,V ugm-3,No data,,1,V ugm-3
19/05/1998,74,V ugm-3,1,V ugm-3,8,V ugm-3,9,V ugm-3,No data,,1,V ugm-3
20/05/1998,71,V ugm-3,1,V ugm-3,9,V ugm-3,10,V ugm-3,No data,,2,V ugm-3
21/05/1998,58,V ugm-3,0,V ugm-3,6,V ugm-3,6,V ugm-3,No data,,1,V ugm-3
